         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1306    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      757    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      757    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:147(__enter__)
      757    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1306    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      752    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      549    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    795/6    0.001    0.000    4.010    0.668 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6549    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      557    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      493    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      930    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1029    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:403(cached)
   199481    0.250    0.000    0.346    0.000 <frozen importlib._bootstrap>:416(parent)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      557    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  557/544    0.002    0.000    0.462    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      752    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
    12/11    0.000    0.000    0.062    0.006 <frozen importlib._bootstrap>:622(_load_backward_compatible)
    569/6    0.003    0.000    4.045    0.674 <frozen importlib._bootstrap>:651(_load_unlocked)
        2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:674(_load)
      689    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
     1306    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      670    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
     2279    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
     2279    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      689    0.007    0.000    0.189    0.000 <frozen importlib._bootstrap>:870(_find_spec)
   755/16    0.004    0.000    4.050    0.253 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   755/16    0.007    0.000    4.050    0.253 <frozen importlib._bootstrap>:966(_find_and_load)
2574773/2573797    1.096    0.000    4.630    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
       69    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1259    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
